75.305612,-0.045204,264.022073
75.288107,-0.012169,-0.023392
74.643599,10.010656,264.027240
72.638932,19.894101,264.032981
69.318801,29.399617,264.039194
64.763267,38.375156,264.045768
59.061124,46.660835,264.052585
52.304759,54.117193,264.057800
44.640959,60.609048,264.051000
36.197536,66.022577,264.044351
27.134045,70.275514,264.037969
17.600610,73.311678,264.031972
7.748795,75.094715,264.026464
-2.304803,75.595874,264.021543
-12.382405,74.775679,264.017299
-22.374690,72.570310,264.013806
-32.000187,69.028738,264.011127
-41.122180,64.201011,264.009309
-49.539547,58.172114,264.008386
-57.077566,51.024478,264.008373
-63.498314,42.992132,264.009271
-68.693414,34.202214,264.011064
-72.618752,24.834851,264.013719
-75.218103,15.087672,264.017190
-76.537193,5.139420,264.021415
-76.506768,-4.907933,264.026317
-75.102557,-14.910472,264.031810
-72.299049,-24.716238,264.037796
-68.200702,-34.120070,264.044167
-62.896976,-42.892862,264.050811
-56.485771,-50.922987,264.057608
-49.067368,-58.027557,264.055825
-40.741285,-63.999244,264.048936
-31.762825,-68.777240,264.042233
-22.278692,-72.286834,264.035837
-12.444216,-74.504976,264.029862
-2.409834,-75.407673,264.024414
7.607412,-74.998934,264.019590
17.472731,-73.289219,264.015477
27.036857,-70.299482,264.012149
36.132088,-66.083016,264.009664
44.600519,-60.701153,264.008066
52.284989,-54.241794,264.007385
59.045171,-46.811714,264.007632
64.762267,-38.529446,264.008803
69.319270,-29.544722,264.010878
72.627511,-20.012096,264.013818
74.627734,-10.110960,264.017572
75.311499,-0.002976,9.763520
75.347691,0.012863,19.558176
75.410736,-0.021325,29.364832
75.500054,-0.074521,39.154089
75.671128,-0.109731,48.905332
75.864842,-0.008172,58.606420
76.177032,0.319849,68.079578
76.501026,0.685371,77.543043
76.902015,1.126630,86.782275
77.571278,1.505965,95.648110
78.338814,1.769077,104.908690
79.092253,2.016014,114.129449
80.598653,1.659865,121.370769
82.947097,2.323423,126.700388
84.308093,1.466237,127.172100
83.549958,1.011877,132.799059
82.717783,0.425773,141.520468
81.825415,-0.072286,150.488321
81.054974,-0.255119,159.937616
80.325418,-0.290958,169.424059
79.670570,-0.273008,179.169470
79.004418,-0.236650,188.887028
78.305326,-0.192465,198.639342
77.653843,-0.146618,208.365323
77.005230,-0.125131,217.881981
76.473915,-0.092940,227.035616
75.976324,-0.096929,236.058609
75.643272,-0.086400,245.129851
75.417453,-0.067686,254.446134
74.632355,9.987807,-0.028452
72.674169,19.812928,-0.034037
69.425172,29.306961,-0.040048
64.946525,38.309858,-0.046376
59.291693,46.664886,-0.052912
52.564914,54.181375,-0.057864
44.890588,60.757779,-0.051145
36.408235,66.226771,-0.044546
27.267468,70.503853,-0.038185
17.609279,73.543122,-0.032177
7.621581,75.261496,-0.026627
-2.512720,75.605839,-0.021635
-12.604595,74.574308,-0.017290
-22.472974,72.181234,-0.013669
-31.909797,68.437325,-0.010839
-40.703566,63.547930,-0.008848
-48.750474,57.494849,-0.007732
-55.915761,50.470388,-0.007511
-62.094809,42.564664,-0.008188
-67.179125,33.920357,-0.009755
-71.083219,24.668239,-0.012179
-73.726342,14.973459,-0.015420
-75.058947,5.014905,-0.019417
-75.053593,-5.031739,-0.024101
-73.708602,-14.986651,-0.029390
-71.048337,-24.674755,-0.035186
-67.119891,-33.922736,-0.041388
-61.993868,-42.565709,-0.047884
-55.764454,-50.447679,-0.054559
-48.543641,-57.432629,-0.052947
-40.456212,-63.395102,-0.046412
-31.646414,-68.226161,-0.040082
-22.268317,-71.841289,-0.034069
-12.490402,-74.172911,-0.028480
-2.488226,-75.182094,-0.023419
7.559890,-74.856022,-0.018971
17.475191,-73.191571,-0.015218
27.079746,-70.216447,-0.012227
36.206470,-65.987248,-0.010050
44.686128,-60.579175,-0.008728
52.366858,-54.087366,-0.008283
59.112878,-46.626522,-0.008724
64.802101,-38.331549,-0.010041
69.331020,-29.357263,-0.012212
72.621514,-19.861031,-0.015200
74.613275,-10.021263,-0.018949
74.153669,13.642152,255.749120
71.491069,23.940877,255.487882
67.468179,33.614580,255.662577
62.287715,42.404450,255.603515
56.005060,50.388306,255.627623
48.718296,57.456077,255.604712
40.578849,63.451849,255.558133
31.756190,68.300888,255.510732
22.412736,71.952533,255.484445
12.683126,74.384865,255.533418
2.643061,75.648002,255.789764
-7.514203,75.482290,256.133039
-17.589673,73.969092,256.562703
-27.419620,71.092482,256.863669
