75.0000,-0.0000,300.0000
75.0000,-0.0000,0.0000
74.3308,9.9965,300.0000
72.3352,19.8147,300.0000
69.0487,29.2792,300.0000
64.5301,38.2212,300.0000
58.8600,46.4812,300.0000
52.1394,53.9118,300.0000
44.4885,60.3803,300.0000
36.0436,65.7712,300.0000
26.9556,69.9885,300.0000
17.3865,72.9569,300.0000
7.5072,74.6233,300.0000
-2.5061,74.9581,300.0000
-12.4747,73.9553,300.0000
-22.2207,71.6327,300.0000
-31.5701,68.0318,300.0000
-40.3562,63.2169,300.0000
-48.4221,57.2739,300.0000
-55.6239,50.3089,300.0000
-61.8331,42.4460,300.0000
-66.9389,33.8258,300.0000
-70.8502,24.6019,300.0000
-73.4971,14.9389,300.0000
-74.8325,5.0094,300.0000
-74.8325,-5.0094,300.0000
-73.4971,-14.9389,300.0000
-70.8502,-24.6019,300.0000
-66.9389,-33.8258,300.0000
-61.8331,-42.4460,300.0000
-55.6239,-50.3089,300.0000
-48.4221,-57.2739,300.0000
-40.3562,-63.2169,300.0000
-31.5701,-68.0318,300.0000
-22.2207,-71.6327,300.0000
-12.4747,-73.9553,300.0000
-2.5061,-74.9581,300.0000
7.5072,-74.6233,300.0000
17.3865,-72.9569,300.0000
26.9556,-69.9885,300.0000
36.0436,-65.7712,300.0000
44.4885,-60.3803,300.0000
52.1394,-53.9118,300.0000
58.8600,-46.4812,300.0000
64.5301,-38.2212,300.0000
69.0487,-29.2792,300.0000
72.3352,-19.8147,300.0000
74.3308,-9.9965,300.0000
75.0000,-0.0000,10.0000
75.0000,-0.0000,20.0000
75.0000,-0.0000,30.0000
75.0000,-0.0000,40.0000
75.0000,-0.0000,50.0000
75.0000,-0.0000,60.0000
75.0000,-0.0000,70.0000
75.0000,-0.0000,80.0000
75.0000,-0.0000,90.0000
75.0000,-0.0000,100.0000
75.0000,-0.0000,110.0000
75.0000,-0.0000,120.0000
75.0000,-0.0000,130.0000
75.0000,-0.0000,140.0000
75.0000,-0.0000,150.0000
75.0000,-0.0000,160.0000
75.0000,-0.0000,170.0000
75.0000,-0.0000,180.0000
75.0000,-0.0000,190.0000
75.0000,-0.0000,200.0000
75.0000,-0.0000,210.0000
75.0000,-0.0000,220.0000
75.0000,-0.0000,230.0000
75.0000,-0.0000,240.0000
75.0000,-0.0000,250.0000
75.0000,-0.0000,260.0000
75.0000,-0.0000,270.0000
75.0000,-0.0000,280.0000
75.0000,-0.0000,290.0000
74.3308,9.9965,0.0000
72.3352,19.8147,0.0000
69.0487,29.2792,0.0000
64.5301,38.2212,0.0000
58.8600,46.4812,0.0000
